attachment_id,case_id,document_id,file_name,file_type,file_extension,file_size_bytes,storage_backend,storage_location,checksum_sha256,created_at
ATT-000001,CASE-000001,DOC-000001,ATTACH_CASE-000001_0001.png,image/png,png,1555239,LOCAL,sample_data/attachments/CASE-000001/ATTACH_CASE-000001_0001.png,5674adba0f0fb69c06b742aaba3bcd4cb5ae1ac4eb89538ab01fc345927ebb5b,2025-06-18T08:53:35.150719
ATT-000002,CASE-000002,DOC-000002,ATTACH_CASE-000002_0002.pdf,application/pdf,pdf,2178513,LOCAL,sample_data/attachments/CASE-000002/ATTACH_CASE-000002_0002.pdf,8484e1a3337776f5e75d63bc77abb901bbb6dcc551f70263c3bc742739e196e7,2026-07-24T20:53:35.150816
ATT-000003,CASE-000003,DOC-000003,ATTACH_CASE-000003_0003.pdf,application/pdf,pdf,3658556,LOCAL,sample_data/attachments/CASE-000003/ATTACH_CASE-000003_0003.pdf,e4bfbd5963fe77331a26208f4c0d43b09a2294f0a8e9220886d19467885d922d,2026-08-13T01:53:35.150882
ATT-000004,CASE-000004,DOC-000004,ATTACH_CASE-000004_0004.jpg,image/jpeg,jpg,610887,LOCAL,sample_data/attachments/CASE-000004/ATTACH_CASE-000004_0004.jpg,1f2478a0f7599e4f53397ea28362deb207a95df385104f39274fccd6bc8367ee,2025-07-01T12:53:35.150934
ATT-000005,CASE-000005,DOC-000005,ATTACH_CASE-000005_0005.png,image/png,png,239431,LOCAL,sample_data/attachments/CASE-000005/ATTACH_CASE-000005_0005.png,0f75b7e6042ca692ed01212be6002b58c8ca10a77270db9753d4f9d5851a59a8,2025-06-07T04:53:35.150994
ATT-000006,CASE-000006,DOC-000006,ATTACH_CASE-000006_0006.png,image/png,png,1607191,LOCAL,sample_data/attachments/CASE-000006/ATTACH_CASE-000006_0006.png,248666ae0c6168d5dd7c33dfc4a4c53a909fc2e12ccdbbe74ceac488491cf809,2026-08-01T03:53:35.151044
ATT-000007,CASE-000007,DOC-000007,ATTACH_CASE-000007_0007.pdf,application/pdf,pdf,2446983,LOCAL,sample_data/attachments/CASE-000007/ATTACH_CASE-000007_0007.pdf,aae743d7ba304e0aa0eb0dbac0b245a29f56d2955473117c6d18157a2afdd9df,2025-08-28T06:53:35.151090
ATT-000008,CASE-000008,DOC-000008,ATTACH_CASE-000008_0008.jpg,image/jpeg,jpg,2685285,LOCAL,sample_data/attachments/CASE-000008/ATTACH_CASE-000008_0008.jpg,169665b65253b95581ea7496ed6ab3e366c9e9e7a740a1b1f242ef43ff3975a3,2026-02-21T08:53:35.151135
ATT-000009,CASE-000009,DOC-000009,ATTACH_CASE-000009_0009.mp4,video/mp4,mp4,4154669,LOCAL,sample_data/attachments/CASE-000009/ATTACH_CASE-000009_0009.mp4,9c0fbb599d178a0a10917b5bbfb7b5eefbd2cce5a831d3251fbfe478c13604f2,2025-05-17T10:53:35.151179
ATT-000010,CASE-000010,DOC-000010,ATTACH_CASE-000010_0010.mp3,audio/mpeg,mp3,2456733,LOCAL,sample_data/attachments/CASE-000010/ATTACH_CASE-000010_0010.mp3,b7d4b46210457a6439a28f77f89044e4de44293ea64eee3eef44cea303cb5634,2026-04-17T19:53:35.151230
ATT-000011,CASE-000011,DOC-000011,ATTACH_CASE-000011_0011.mp3,audio/mpeg,mp3,2818484,LOCAL,sample_data/attachments/CASE-000011/ATTACH_CASE-000011_0011.mp3,efaa70c3a11f64b8fbe82be4126dbcc906a6b8a3946c4996b1e67dc9bb9f5270,2026-04-24T21:53:35.151282
ATT-000012,CASE-000012,DOC-000012,ATTACH_CASE-000012_0012.mp4,video/mp4,mp4,1220720,LOCAL,sample_data/attachments/CASE-000012/ATTACH_CASE-000012_0012.mp4,ad925b0eb5d59e68ceeb8821f47933200305e95d7157b45e90cda58876dc4a8f,2025-06-03T21:53:35.151326
ATT-000013,CASE-000013,DOC-000013,ATTACH_CASE-000013_0013.png,image/png,png,1192956,LOCAL,sample_data/attachments/CASE-000013/ATTACH_CASE-000013_0013.png,6269ef61a7641771c7b8729294f27873f98b20ac98822d4b0cfa2cf403955db7,2025-07-17T00:53:35.151371
ATT-000014,CASE-000014,DOC-000014,ATTACH_CASE-000014_0014.mp3,audio/mpeg,mp3,2770589,LOCAL,sample_data/attachments/CASE-000014/ATTACH_CASE-000014_0014.mp3,f64496b1ac2ed778e7223268195b98387a45b57e88730e3e6c2517a0111271d5,2026-06-21T02:53:35.151414
ATT-000015,CASE-000015,DOC-000015,ATTACH_CASE-000015_0015.jpg,image/jpeg,jpg,2927693,LOCAL,sample_data/attachments/CASE-000015/ATTACH_CASE-000015_0015.jpg,eb9f2374211f38858cf76ce2cfc2d2b13f88e4a649542fcc661ec9189fcbbf4c,2025-06-11T05:53:35.151457
ATT-000016,CASE-000016,DOC-000016,ATTACH_CASE-000016_0016.pdf,application/pdf,pdf,1302001,LOCAL,sample_data/attachments/CASE-000016/ATTACH_CASE-000016_0016.pdf,16605636c6461f8966c5c5c37ac53b3110fef2b981b233822573b01c25841028,2025-08-18T23:53:35.151502
ATT-000017,CASE-000017,DOC-000017,ATTACH_CASE-000017_0017.mp3,audio/mpeg,mp3,1683704,LOCAL,sample_data/attachments/CASE-000017/ATTACH_CASE-000017_0017.mp3,925220199141b0539835e6aedcae4bc92ab0d8f1ef0b9725a82bbdf3f632bc7f,2025-11-06T18:53:35.151545
ATT-000018,CASE-000018,DOC-000018,ATTACH_CASE-000018_0018.pdf,application/pdf,pdf,1271099,LOCAL,sample_data/attachments/CASE-000018/ATTACH_CASE-000018_0018.pdf,fba27ec0c1917b2bb1198f873dd45e6248a7272f030fae65be8c13f45f17ca23,2026-08-06T18:53:35.151598
ATT-000019,CASE-000019,DOC-000019,ATTACH_CASE-000019_0019.mp4,video/mp4,mp4,3166930,LOCAL,sample_data/attachments/CASE-000019/ATTACH_CASE-000019_0019.mp4,3497ffb9efeef2a43496784b8dd2484a8988f34b47205b878bc8d0532b16d4aa,2026-03-10T16:53:35.151661
ATT-000020,CASE-000020,DOC-000020,ATTACH_CASE-000020_0020.jpg,image/jpeg,jpg,1036529,LOCAL,sample_data/attachments/CASE-000020/ATTACH_CASE-000020_0020.jpg,422a9ebcfc6d0d07277e9e5f09c1f5bb35b27ae70e65b97e46020b7049a74778,2026-02-25T08:53:35.151744
ATT-000021,CASE-000021,DOC-000021,ATTACH_CASE-000021_0021.mp3,audio/mpeg,mp3,3127423,LOCAL,sample_data/attachments/CASE-000021/ATTACH_CASE-000021_0021.mp3,77d0adb2e5230f7b91e92f1bc1b0cd18ff2a2cf0ad9412233ff80745777119f0,2026-01-05T22:53:35.151802
ATT-000022,CASE-000022,DOC-000022,ATTACH_CASE-000022_0022.mp3,audio/mpeg,mp3,4853237,LOCAL,sample_data/attachments/CASE-000022/ATTACH_CASE-000022_0022.mp3,f16c909f5aba9cf7fd1c2b1e557e53dcddb1ff33d7cb706e3e09637d17ee46a5,2026-05-23T19:53:35.151990
ATT-000023,CASE-000023,DOC-000023,ATTACH_CASE-000023_0023.jpg,image/jpeg,jpg,3792238,LOCAL,sample_data/attachments/CASE-000023/ATTACH_CASE-000023_0023.jpg,e12bb8598760526ba012bd0913a4dff4cd286e46557f51e0a1ebf216560b6a47,2026-01-26T14:53:35.152053
ATT-000024,CASE-000024,DOC-000024,ATTACH_CASE-000024_0024.png,image/png,png,4613628,LOCAL,sample_data/attachments/CASE-000024/ATTACH_CASE-000024_0024.png,8a7ff7c8527d65d31526fbb73a0180a1b178c7485ee24cf4160eb972fe039f8a,2025-06-27T05:53:35.152104
ATT-000025,CASE-000025,DOC-000025,ATTACH_CASE-000025_0025.mp4,video/mp4,mp4,2118009,LOCAL,sample_data/attachments/CASE-000025/ATTACH_CASE-000025_0025.mp4,9eb136b627a18ae003fd54d1bb45bc76b680743c7c583509a9dc2c4859679176,2026-02-02T05:53:35.152159
