station_id,station_code,station_name,district,state,address,latitude,longitude,jurisdiction,phone,email,is_active,created_at,updated_at
STATION-PS-MUM-001,PS-MUM-001,Colaba Police Station,Mumbai City,Maharashtra,"1, Shahid Bhagat Singh Marg, Colaba, Mumbai - 400001",18.9154,72.8258,"Colaba, Cuffe Parade, Navy Nagar, Fort South",+91-22-22856789,colaba.ps@mahapolice.gov.in,True,2026-08-31T18:53:35.107690,2026-08-31T18:53:35.107705
STATION-PS-MUM-002,PS-MUM-002,Bandra Police Station,Mumbai Suburban,Maharashtra,"Hill Road, Bandra West, Mumbai - 400050",19.0596,72.8295,"Bandra West, Pali Hill, Carter Road, Bandra Reclamation",+91-22-26423456,bandra.ps@mahapolice.gov.in,True,2026-08-31T18:53:35.107767,2026-08-31T18:53:35.107772
STATION-PS-PUN-001,PS-PUN-001,Shivajinagar Police Station,Pune,Maharashtra,"JM Road, Shivajinagar, Pune - 411005",18.5308,73.8475,"Shivajinagar, FC Road, Model Colony, Deccan Gymkhana",+91-20-25531234,shivajinagar.ps@punepolice.gov.in,True,2026-08-31T18:53:35.107779,2026-08-31T18:53:35.107783
STATION-PS-DEL-001,PS-DEL-001,Connaught Place Police Station,Central Delhi,Delhi,"Parliament Street, Connaught Place, New Delhi - 110001",28.6289,77.215,"Connaught Place, Janpath, Barakhamba Road, Kasturba Gandhi Marg",+91-11-23361234,cp.ps@delhipolice.gov.in,True,2026-08-31T18:53:35.107788,2026-08-31T18:53:35.107790
STATION-PS-DEL-002,PS-DEL-002,Hauz Khas Police Station,South Delhi,Delhi,"Aurobindo Marg, Hauz Khas, New Delhi - 110016",28.5494,77.2001,"Hauz Khas, Green Park, Safdarjung Enclave, IIT Campus",+91-11-26514567,hauzkhas.ps@delhipolice.gov.in,True,2026-08-31T18:53:35.107795,2026-08-31T18:53:35.107797
STATION-PS-BLR-001,PS-BLR-001,Koramangala Police Station,Bangalore Urban,Karnataka,"8th Block, Koramangala, Bengaluru - 560095",12.9352,77.6245,"Koramangala 1st to 8th Blocks, Forum Mall, Sony World Junction",+91-80-22942345,koramangala.ps@ksp.gov.in,True,2026-08-31T18:53:35.107803,2026-08-31T18:53:35.107805
STATION-PS-BLR-002,PS-BLR-002,Indiranagar Police Station,Bangalore Urban,Karnataka,"100 Feet Road, Indiranagar, Bengaluru - 560038",12.9784,77.6408,"Indiranagar 1st and 2nd Stages, CMH Road, Defence Colony",+91-80-22943456,indiranagar.ps@ksp.gov.in,True,2026-08-31T18:53:35.107810,2026-08-31T18:53:35.107812
STATION-PS-CHE-001,PS-CHE-001,T. Nagar Police Station,Chennai,Tamil Nadu,"Venkatnarayana Road, T. Nagar, Chennai - 600017",13.0418,80.2341,"T. Nagar, Pondy Bazaar, Kodambakkam, West Mambalam",+91-44-23452345,tnagar.ps@tnpolice.gov.in,True,2026-08-31T18:53:35.107816,2026-08-31T18:53:35.107819
STATION-PS-CHE-002,PS-CHE-002,Mylapore Police Station,Chennai,Tamil Nadu,"Kutchery Road, Mylapore, Chennai - 600004",13.0339,80.2687,"Mylapore, Mandaveli, Santhome, Luz Church Road",+91-44-23453456,mylapore.ps@tnpolice.gov.in,True,2026-08-31T18:53:35.107824,2026-08-31T18:53:35.107826
STATION-PS-LKO-001,PS-LKO-001,Hazratganj Police Station,Lucknow,Uttar Pradesh,"MG Marg, Hazratganj, Lucknow - 226001",26.8537,80.9458,"Hazratganj, Vidhan Sabha Marg, Ashok Marg, Lalbagh",+91-522-2201234,hazratganj.ps@uppolice.gov.in,True,2026-08-31T18:53:35.107831,2026-08-31T18:53:35.107834
