evidence_id,case_id,fir_number,evidence_number,evidence_type,description,collected_by_officer_id,collection_location,storage_location,chain_of_custody_status,created_at
EVID-000001,CASE-000001,FIR/2026/PS-MUM-001/00001,EVID/00001/0001,DIGITAL,Mobile smartphone (Android/iOS),OFFICER-00026,"Near Landmark 21, Colaba, Mumbai City","Locker-4, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2025-06-18T08:53:35.150719
EVID-000002,CASE-000002,FIR/2026/PS-MUM-002/00002,EVID/00002/0002,DIGITAL,Mobile smartphone (Android/iOS),OFFICER-00036,"Near Landmark 83, Bandra West, Mumbai Suburban","Locker-3, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2026-07-24T20:53:35.150816
EVID-000003,CASE-000003,FIR/2025/PS-PUN-001/00003,EVID/00003/0003,DOCUMENTARY,Fraudulent cheque leaf,OFFICER-00009,"Near Landmark 21, Shivajinagar, Pune","Locker-2, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2026-08-13T01:53:35.150882
EVID-000004,CASE-000004,FIR/2024/PS-DEL-001/00004,EVID/00004/0004,DOCUMENTARY,Fraudulent cheque leaf,OFFICER-00019,"Near Landmark 47, Connaught Place, Central Delhi","Locker-23, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2025-07-01T12:53:35.150934
EVID-000005,CASE-000005,FIR/2026/PS-DEL-002/00005,EVID/00005/0005,DIGITAL,Hard disk drive containing DVR recording,OFFICER-00003,"Near Landmark 75, Hauz Khas, South Delhi","Locker-13, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-06-07T04:53:35.150994
EVID-000006,CASE-000006,FIR/2026/PS-BLR-001/00006,EVID/00006/0006,DOCUMENTARY,Forged land deed agreement,OFFICER-00038,"Near Landmark 22, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-34, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2026-08-01T03:53:35.151044
EVID-000007,CASE-000007,FIR/2024/PS-BLR-002/00007,EVID/00007/0007,DIGITAL,Hard disk drive containing DVR recording,OFFICER-00048,"Near Landmark 93, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-39, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2025-08-28T06:53:35.151090
EVID-000008,CASE-000008,FIR/2025/PS-CHE-001/00008,EVID/00008/0008,DOCUMENTARY,Fraudulent cheque leaf,OFFICER-00017,"Near Landmark 20, T. Nagar, Chennai","Locker-2, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2026-02-21T08:53:35.151135
EVID-000009,CASE-000009,FIR/2025/PS-CHE-002/00009,EVID/00009/0009,BIOLOGICAL,Blood sample collected from vehicle seat,OFFICER-00023,"Near Landmark 12, Mylapore, Chennai","Locker-24, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2025-05-17T10:53:35.151179
EVID-000010,CASE-000010,FIR/2025/PS-LKO-001/00010,EVID/00010/0010,DIGITAL,Hard disk drive containing DVR recording,OFFICER-00027,"Near Landmark 77, Hazratganj, Lucknow","Locker-40, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2026-04-17T19:53:35.151230
EVID-000011,CASE-000011,FIR/2025/PS-MUM-001/00011,EVID/00011/0011,FORENSIC,Bullet casing recovered from floor,OFFICER-00047,"Near Landmark 87, Colaba, Mumbai City","Locker-33, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2026-04-24T21:53:35.151282
EVID-000012,CASE-000012,FIR/2024/PS-MUM-002/00012,EVID/00012/0012,DOCUMENTARY,Fake identification card,OFFICER-00024,"Near Landmark 85, Bandra West, Mumbai Suburban","Locker-47, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2025-06-03T21:53:35.151326
EVID-000013,CASE-000013,FIR/2026/PS-PUN-001/00013,EVID/00013/0013,PHYSICAL,Fabric sample with blood stains,OFFICER-00025,"Near Landmark 55, Shivajinagar, Pune","Locker-22, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2025-07-17T00:53:35.151371
EVID-000014,CASE-000014,FIR/2024/PS-DEL-001/00014,EVID/00014/0014,DOCUMENTARY,Fake identification card,OFFICER-00045,"Near Landmark 32, Connaught Place, Central Delhi","Locker-1, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2026-06-21T02:53:35.151414
EVID-000015,CASE-000015,FIR/2024/PS-DEL-002/00015,EVID/00015/0015,DOCUMENTARY,Fraudulent cheque leaf,OFFICER-00050,"Near Landmark 23, Hauz Khas, South Delhi","Locker-13, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-06-11T05:53:35.151457
EVID-000016,CASE-000016,FIR/2026/PS-BLR-001/00016,EVID/00016/0016,DIGITAL,SIM card recovered,OFFICER-00012,"Near Landmark 56, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-34, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2025-08-18T23:53:35.151502
EVID-000017,CASE-000017,FIR/2026/PS-BLR-002/00017,EVID/00017/0017,PHYSICAL,Recovered sharp metallic tool,OFFICER-00014,"Near Landmark 76, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-12, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2025-11-06T18:53:35.151545
EVID-000018,CASE-000018,FIR/2025/PS-CHE-001/00018,EVID/00018/0018,DIGITAL,Hard disk drive containing DVR recording,OFFICER-00021,"Near Landmark 32, T. Nagar, Chennai","Locker-6, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2026-08-06T18:53:35.151598
EVID-000019,CASE-000019,FIR/2025/PS-CHE-002/00019,EVID/00019/0019,DOCUMENTARY,Handwritten ransom note,OFFICER-00010,"Near Landmark 28, Mylapore, Chennai","Locker-35, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2026-03-10T16:53:35.151661
EVID-000020,CASE-000020,FIR/2024/PS-LKO-001/00020,EVID/00020/0020,DOCUMENTARY,Fraudulent cheque leaf,OFFICER-00008,"Near Landmark 28, Hazratganj, Lucknow","Locker-36, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2026-02-25T08:53:35.151744
EVID-000021,CASE-000021,FIR/2024/PS-MUM-001/00021,EVID/00021/0021,FORENSIC,Bullet casing recovered from floor,OFFICER-00015,"Near Landmark 45, Colaba, Mumbai City","Locker-40, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2026-01-05T22:53:35.151802
EVID-000022,CASE-000022,FIR/2024/PS-MUM-002/00022,EVID/00022/0022,DIGITAL,Hard disk drive containing DVR recording,OFFICER-00029,"Near Landmark 34, Bandra West, Mumbai Suburban","Locker-14, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2026-05-23T19:53:35.151990
EVID-000023,CASE-000023,FIR/2024/PS-PUN-001/00023,EVID/00023/0023,BIOLOGICAL,Blood sample collected from vehicle seat,OFFICER-00013,"Near Landmark 39, Shivajinagar, Pune","Locker-25, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2026-01-26T14:53:35.152053
EVID-000024,CASE-000024,FIR/2024/PS-DEL-001/00024,EVID/00024/0024,DOCUMENTARY,Handwritten ransom note,OFFICER-00029,"Near Landmark 89, Connaught Place, Central Delhi","Locker-20, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2025-06-27T05:53:35.152104
EVID-000025,CASE-000025,FIR/2024/PS-DEL-002/00025,EVID/00025/0025,PHYSICAL,Shoe impression cast,OFFICER-00039,"Near Landmark 13, Hauz Khas, South Delhi","Locker-35, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2026-02-02T05:53:35.152159
EVID-000026,CASE-000026,FIR/2024/PS-BLR-001/00026,EVID/00026/0026,FORENSIC,Chemical reagent sample,OFFICER-00031,"Near Landmark 67, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-42, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2026-03-27T02:53:35.152222
EVID-000027,CASE-000027,FIR/2025/PS-BLR-002/00027,EVID/00027/0027,BIOLOGICAL,Hair strand recovered from crime scene,OFFICER-00038,"Near Landmark 90, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-50, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2026-01-25T04:53:35.152605
EVID-000028,CASE-000028,FIR/2026/PS-CHE-001/00028,EVID/00028/0028,FORENSIC,Bullet casing recovered from floor,OFFICER-00023,"Near Landmark 54, T. Nagar, Chennai","Locker-17, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2026-07-29T20:53:35.152665
EVID-000029,CASE-000029,FIR/2024/PS-CHE-002/00029,EVID/00029/0029,BIOLOGICAL,Blood sample collected from vehicle seat,OFFICER-00035,"Near Landmark 58, Mylapore, Chennai","Locker-49, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2025-10-06T19:53:35.152724
EVID-000030,CASE-000030,FIR/2025/PS-LKO-001/00030,EVID/00030/0030,BIOLOGICAL,Hair strand recovered from crime scene,OFFICER-00050,"Near Landmark 60, Hazratganj, Lucknow","Locker-13, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2025-04-24T16:53:35.152773
EVID-000031,CASE-000031,FIR/2025/PS-MUM-001/00031,EVID/00031/0031,FORENSIC,Bullet casing recovered from floor,OFFICER-00047,"Near Landmark 90, Colaba, Mumbai City","Locker-25, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2026-08-16T23:53:35.152828
EVID-000032,CASE-000032,FIR/2025/PS-MUM-002/00032,EVID/00032/0032,FORENSIC,Chemical reagent sample,OFFICER-00001,"Near Landmark 71, Bandra West, Mumbai Suburban","Locker-17, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2025-09-23T11:53:35.152878
EVID-000033,CASE-000033,FIR/2025/PS-PUN-001/00033,EVID/00033/0033,BIOLOGICAL,Swab sample for DNA profiling,OFFICER-00034,"Near Landmark 49, Shivajinagar, Pune","Locker-48, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2025-10-12T16:53:35.152928
EVID-000034,CASE-000034,FIR/2024/PS-DEL-001/00034,EVID/00034/0034,DOCUMENTARY,Forged land deed agreement,OFFICER-00007,"Near Landmark 98, Connaught Place, Central Delhi","Locker-45, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2025-10-14T01:53:35.152979
EVID-000035,CASE-000035,FIR/2026/PS-DEL-002/00035,EVID/00035/0035,DOCUMENTARY,Handwritten ransom note,OFFICER-00048,"Near Landmark 29, Hauz Khas, South Delhi","Locker-24, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-04-24T12:53:35.153037
EVID-000036,CASE-000036,FIR/2024/PS-BLR-001/00036,EVID/00036/0036,FORENSIC,Bullet casing recovered from floor,OFFICER-00013,"Near Landmark 59, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-28, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2026-01-29T12:53:35.153086
EVID-000037,CASE-000037,FIR/2025/PS-BLR-002/00037,EVID/00037/0037,PHYSICAL,Fabric sample with blood stains,OFFICER-00023,"Near Landmark 27, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-22, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2026-05-29T07:53:35.153135
EVID-000038,CASE-000038,FIR/2025/PS-CHE-001/00038,EVID/00038/0038,PHYSICAL,Shoe impression cast,OFFICER-00008,"Near Landmark 20, T. Nagar, Chennai","Locker-47, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2026-08-15T08:53:35.153183
EVID-000039,CASE-000039,FIR/2025/PS-CHE-002/00039,EVID/00039/0039,DOCUMENTARY,Fraudulent cheque leaf,OFFICER-00024,"Near Landmark 33, Mylapore, Chennai","Locker-37, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2026-01-19T13:53:35.153237
EVID-000040,CASE-000040,FIR/2026/PS-LKO-001/00040,EVID/00040/0040,DIGITAL,Mobile smartphone (Android/iOS),OFFICER-00020,"Near Landmark 85, Hazratganj, Lucknow","Locker-27, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2026-01-22T07:53:35.153284
EVID-000041,CASE-000041,FIR/2026/PS-MUM-001/00041,EVID/00041/0041,DIGITAL,SIM card recovered,OFFICER-00043,"Near Landmark 89, Colaba, Mumbai City","Locker-27, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2026-04-30T06:53:35.153331
EVID-000042,CASE-000042,FIR/2026/PS-MUM-002/00042,EVID/00042/0042,FORENSIC,Bullet casing recovered from floor,OFFICER-00035,"Near Landmark 19, Bandra West, Mumbai Suburban","Locker-28, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2025-10-26T08:53:35.153376
EVID-000043,CASE-000043,FIR/2026/PS-PUN-001/00043,EVID/00043/0043,BIOLOGICAL,Blood sample collected from vehicle seat,OFFICER-00004,"Near Landmark 39, Shivajinagar, Pune","Locker-46, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2025-09-19T06:53:35.153497
EVID-000044,CASE-000044,FIR/2026/PS-DEL-001/00044,EVID/00044/0044,PHYSICAL,Shoe impression cast,OFFICER-00046,"Near Landmark 40, Connaught Place, Central Delhi","Locker-10, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2025-04-21T16:53:35.153551
EVID-000045,CASE-000045,FIR/2026/PS-DEL-002/00045,EVID/00045/0045,BIOLOGICAL,Swab sample for DNA profiling,OFFICER-00018,"Near Landmark 65, Hauz Khas, South Delhi","Locker-35, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-11-12T10:53:35.153586
EVID-000046,CASE-000046,FIR/2025/PS-BLR-001/00046,EVID/00046/0046,FORENSIC,Toxicology vial from post-mortem,OFFICER-00048,"Near Landmark 74, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-40, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2026-07-14T12:53:35.153621
EVID-000047,CASE-000047,FIR/2024/PS-BLR-002/00047,EVID/00047/0047,FORENSIC,Bullet casing recovered from floor,OFFICER-00048,"Near Landmark 11, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-3, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2025-08-11T17:53:35.153676
EVID-000048,CASE-000048,FIR/2025/PS-CHE-001/00048,EVID/00048/0048,PHYSICAL,Fabric sample with blood stains,OFFICER-00039,"Near Landmark 81, T. Nagar, Chennai","Locker-27, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2026-06-13T11:53:35.153732
EVID-000049,CASE-000049,FIR/2026/PS-CHE-002/00049,EVID/00049/0049,PHYSICAL,Recovered sharp metallic tool,OFFICER-00044,"Near Landmark 44, Mylapore, Chennai","Locker-24, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2025-08-20T15:53:35.153764
EVID-000050,CASE-000050,FIR/2025/PS-LKO-001/00050,EVID/00050/0050,BIOLOGICAL,Hair strand recovered from crime scene,OFFICER-00037,"Near Landmark 51, Hazratganj, Lucknow","Locker-17, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2025-05-21T02:53:35.153793
EVID-000051,CASE-000051,FIR/2026/PS-MUM-001/00051,EVID/00051/0051,BIOLOGICAL,Hair strand recovered from crime scene,OFFICER-00040,"Near Landmark 85, Colaba, Mumbai City","Locker-3, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2025-08-29T02:53:35.153821
EVID-000052,CASE-000052,FIR/2026/PS-MUM-002/00052,EVID/00052/0052,DIGITAL,USB flash drive with encrypted documents,OFFICER-00049,"Near Landmark 61, Bandra West, Mumbai Suburban","Locker-48, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2025-06-08T14:53:35.153848
EVID-000053,CASE-000053,FIR/2026/PS-PUN-001/00053,EVID/00053/0053,BIOLOGICAL,Hair strand recovered from crime scene,OFFICER-00050,"Near Landmark 76, Shivajinagar, Pune","Locker-8, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2026-08-18T19:53:35.153876
EVID-000054,CASE-000054,FIR/2026/PS-DEL-001/00054,EVID/00054/0054,DIGITAL,Mobile smartphone (Android/iOS),OFFICER-00002,"Near Landmark 71, Connaught Place, Central Delhi","Locker-7, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2026-08-17T15:53:35.153904
EVID-000055,CASE-000055,FIR/2025/PS-DEL-002/00055,EVID/00055/0055,DIGITAL,Hard disk drive containing DVR recording,OFFICER-00009,"Near Landmark 57, Hauz Khas, South Delhi","Locker-28, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2026-05-07T14:53:35.153930
EVID-000056,CASE-000056,FIR/2026/PS-BLR-001/00056,EVID/00056/0056,FORENSIC,Toxicology vial from post-mortem,OFFICER-00020,"Near Landmark 85, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-1, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2025-09-19T07:53:35.153956
EVID-000057,CASE-000057,FIR/2024/PS-BLR-002/00057,EVID/00057/0057,BIOLOGICAL,Hair strand recovered from crime scene,OFFICER-00001,"Near Landmark 37, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-40, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2025-11-30T03:53:35.153988
EVID-000058,CASE-000058,FIR/2026/PS-CHE-001/00058,EVID/00058/0058,DIGITAL,SIM card recovered,OFFICER-00031,"Near Landmark 75, T. Nagar, Chennai","Locker-8, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2025-12-02T05:53:35.154017
