activity_id,case_id,fir_number,activity_type,description,performed_by_officer_id,timestamp
ACT-000001,CASE-000001,FIR/2026/PS-MUM-001/00001,INTERROGATION,Suspect Asha Mehta brought in for questioning.,OFFICER-00034,2025-06-18T08:53:35.150719
ACT-000002,CASE-000002,FIR/2026/PS-MUM-002/00002,INTERROGATION,Suspect Rohan Nair brought in for questioning.,OFFICER-00015,2026-07-24T20:53:35.150816
ACT-000003,CASE-000003,FIR/2025/PS-PUN-001/00003,INTERROGATION,Suspect Renu Rao brought in for questioning.,OFFICER-00001,2026-08-13T01:53:35.150882
ACT-000004,CASE-000004,FIR/2024/PS-DEL-001/00004,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00022,2025-07-01T12:53:35.150934
ACT-000005,CASE-000005,FIR/2026/PS-DEL-002/00005,WITNESS_ADDED,Witness Swati Kumar added to case record.,OFFICER-00041,2025-06-07T04:53:35.150994
ACT-000006,CASE-000006,FIR/2026/PS-BLR-001/00006,WITNESS_ADDED,Witness Priya Chauhan added to case record.,OFFICER-00009,2026-08-01T03:53:35.151044
ACT-000007,CASE-000007,FIR/2024/PS-BLR-002/00007,CLOSED,Case investigation concluded and case closed.,OFFICER-00038,2025-08-28T06:53:35.151090
ACT-000008,CASE-000008,FIR/2025/PS-CHE-001/00008,REGISTERED,FIR filed and case registered at T. Nagar Police Station.,OFFICER-00049,2026-02-21T08:53:35.151135
ACT-000009,CASE-000009,FIR/2025/PS-CHE-002/00009,ASSIGNED,Case assigned to Primary IO Aarti Malik (BADGE-CHE-1048).,OFFICER-00048,2025-05-17T10:53:35.151179
ACT-000010,CASE-000010,FIR/2025/PS-LKO-001/00010,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00040,2026-04-17T19:53:35.151230
ACT-000011,CASE-000011,FIR/2025/PS-MUM-001/00011,INTERROGATION,Suspect Ritu Shukla brought in for questioning.,OFFICER-00049,2026-04-24T21:53:35.151282
ACT-000012,CASE-000012,FIR/2024/PS-MUM-002/00012,STATUS_CHANGED,Case status updated to CHARGE_SHEET_FILED.,OFFICER-00003,2025-06-03T21:53:35.151326
ACT-000013,CASE-000013,FIR/2026/PS-PUN-001/00013,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00001,2025-07-17T00:53:35.151371
ACT-000014,CASE-000014,FIR/2024/PS-DEL-001/00014,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00013,2026-06-21T02:53:35.151414
ACT-000015,CASE-000015,FIR/2024/PS-DEL-002/00015,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00015,2025-06-11T05:53:35.151457
ACT-000016,CASE-000016,FIR/2026/PS-BLR-001/00016,REGISTERED,FIR filed and case registered at Koramangala Police Station.,OFFICER-00035,2025-08-18T23:53:35.151502
ACT-000017,CASE-000017,FIR/2026/PS-BLR-002/00017,ASSIGNED,Case assigned to Primary IO Chandan Chatterjee (BADGE-PUN-1043).,OFFICER-00043,2025-11-06T18:53:35.151545
ACT-000018,CASE-000018,FIR/2025/PS-CHE-001/00018,STATUS_CHANGED,Case status updated to CHARGE_SHEET_FILED.,OFFICER-00014,2026-08-06T18:53:35.151598
ACT-000019,CASE-000019,FIR/2025/PS-CHE-002/00019,WITNESS_ADDED,Witness Deepak Nair added to case record.,OFFICER-00046,2026-03-10T16:53:35.151661
ACT-000020,CASE-000020,FIR/2024/PS-LKO-001/00020,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00041,2026-02-25T08:53:35.151744
ACT-000021,CASE-000021,FIR/2024/PS-MUM-001/00021,STATUS_CHANGED,Case status updated to CLOSED_UNSOLVED.,OFFICER-00034,2026-01-05T22:53:35.151802
ACT-000022,CASE-000022,FIR/2024/PS-MUM-002/00022,CLOSED,Case investigation concluded and case closed.,OFFICER-00025,2026-05-23T19:53:35.151990
ACT-000023,CASE-000023,FIR/2024/PS-PUN-001/00023,CLOSED,Case investigation concluded and case closed.,OFFICER-00036,2026-01-26T14:53:35.152053
ACT-000024,CASE-000024,FIR/2024/PS-DEL-001/00024,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00021,2025-06-27T05:53:35.152104
ACT-000025,CASE-000025,FIR/2024/PS-DEL-002/00025,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00021,2026-02-02T05:53:35.152159
ACT-000026,CASE-000026,FIR/2024/PS-BLR-001/00026,CLOSED,Case investigation concluded and case closed.,OFFICER-00006,2026-03-27T02:53:35.152222
ACT-000027,CASE-000027,FIR/2025/PS-BLR-002/00027,ASSIGNED,Case assigned to Primary IO Aarti Malik (BADGE-CHE-1048).,OFFICER-00048,2026-01-25T04:53:35.152605
ACT-000028,CASE-000028,FIR/2026/PS-CHE-001/00028,ASSIGNED,Case assigned to Primary IO Tarun Pandey (BADGE-BAN-1027).,OFFICER-00027,2026-07-29T20:53:35.152665
ACT-000029,CASE-000029,FIR/2024/PS-CHE-002/00029,INTERROGATION,Suspect Arjun Chauhan brought in for questioning.,OFFICER-00015,2025-10-06T19:53:35.152724
ACT-000030,CASE-000030,FIR/2025/PS-LKO-001/00030,CLOSED,Case investigation concluded and case closed.,OFFICER-00043,2025-04-24T16:53:35.152773
ACT-000031,CASE-000031,FIR/2025/PS-MUM-001/00031,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00013,2026-08-16T23:53:35.152828
ACT-000032,CASE-000032,FIR/2025/PS-MUM-002/00032,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00050,2025-09-23T11:53:35.152878
ACT-000033,CASE-000033,FIR/2025/PS-PUN-001/00033,WITNESS_ADDED,Witness Manju Malik added to case record.,OFFICER-00002,2025-10-12T16:53:35.152928
ACT-000034,CASE-000034,FIR/2024/PS-DEL-001/00034,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00034,2025-10-14T01:53:35.152979
ACT-000035,CASE-000035,FIR/2026/PS-DEL-002/00035,REGISTERED,FIR filed and case registered at Hauz Khas Police Station.,OFFICER-00029,2025-04-24T12:53:35.153037
ACT-000036,CASE-000036,FIR/2024/PS-BLR-001/00036,STATUS_CHANGED,Case status updated to CLOSED_UNSOLVED.,OFFICER-00020,2026-01-29T12:53:35.153086
ACT-000037,CASE-000037,FIR/2025/PS-BLR-002/00037,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00035,2026-05-29T07:53:35.153135
ACT-000038,CASE-000038,FIR/2025/PS-CHE-001/00038,ASSIGNED,Case assigned to Primary IO Chandan Pandey (BADGE-LUC-1040).,OFFICER-00040,2026-08-15T08:53:35.153183
