case_id,fir_number,police_station_id,station_name,assigned_officer_id,assigned_officer_name,assigned_officer_badge,crime_category,crime_type,priority,current_status,registration_date,incident_date,location,short_summary,detailed_description,applicable_sections,source,created_by,updated_by,created_at,updated_at
CASE-000001,FIR/2026/PS-MUM-001/00001,STATION-PS-MUM-001,Colaba Police Station,OFFICER-00031,Uma Naidu,BADGE-MUM-1031,NON_COGNIZABLE,ASSAULT,MEDIUM,UNDER_INVESTIGATION,2025-06-18T08:53:35.150719,2025-06-16T11:53:35.150719,"{""address"": ""Near Landmark 21, Colaba, Mumbai City"", ""latitude"": 18.908681695227674, ""longitude"": 72.80964335784121, ""district"": ""Mumbai City"", ""state"": ""Maharashtra""}",Incident of assault reported near Mumbai City.,Detailed police incident report regarding ASSAULT under jurisdiction of Colaba Police Station. Investigation initiated by Officer Uma Naidu (BADGE-MUM-1031). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""323"", ""description"": ""Punishment for voluntarily causing hurt""}, {""act"": ""IPC"", ""section"": ""325"", ""description"": ""Punishment for voluntarily causing grievous hurt""}, {""act"": ""BNS"", ""section"": ""115"", ""description"": ""Voluntarily causing hurt""}]",WALK_IN,USER-00031,USER-00031,2025-06-18T08:53:35.150719,2026-08-31T18:53:35.150773
CASE-000002,FIR/2026/PS-MUM-002/00002,STATION-PS-MUM-002,Bandra Police Station,OFFICER-00022,Gaurav Tiwari,BADGE-MUM-1022,NON_COGNIZABLE,DOMESTIC_VIOLENCE,MEDIUM,CLOSED_SOLVED,2026-07-24T20:53:35.150816,2026-07-23T09:53:35.150816,"{""address"": ""Near Landmark 83, Bandra West, Mumbai Suburban"", ""latitude"": 19.04426541160281, ""longitude"": 72.81266720890423, ""district"": ""Mumbai Suburban"", ""state"": ""Maharashtra""}",Incident of domestic violence reported near Mumbai Suburban.,Detailed police incident report regarding DOMESTIC_VIOLENCE under jurisdiction of Bandra Police Station. Investigation initiated by Officer Gaurav Tiwari (BADGE-MUM-1022). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""498A"", ""description"": ""Husband or relative of husband subjecting woman to cruelty""}, {""act"": ""DV Act"", ""section"": ""12"", ""description"": ""Application to Magistrate for domestic violence relief""}]",WALK_IN,USER-00216,USER-00216,2026-07-24T20:53:35.150816,2026-08-31T18:53:35.150852
CASE-000003,FIR/2025/PS-PUN-001/00003,STATION-PS-PUN-001,Shivajinagar Police Station,OFFICER-00023,Yashoda Das,BADGE-PUN-1023,NON_COGNIZABLE,FINANCIAL_CRIME,CRITICAL,CLOSED_SOLVED,2026-08-13T01:53:35.150882,2026-08-12T10:53:35.150882,"{""address"": ""Near Landmark 21, Shivajinagar, Pune"", ""latitude"": 18.53015140047387, ""longitude"": 73.84559941746234, ""district"": ""Pune"", ""state"": ""Maharashtra""}",Incident of financial crime reported near Pune.,Detailed police incident report regarding FINANCIAL_CRIME under jurisdiction of Shivajinagar Police Station. Investigation initiated by Officer Yashoda Das (BADGE-PUN-1023). Initial inspection conducted at incident location.,"[{""act"": ""PMLA"", ""section"": ""3"", ""description"": ""Offence of money-laundering""}, {""act"": ""IPC"", ""section"": ""409"", ""description"": ""Criminal breach of trust by public servant, banker, merchant or agent""}]",WALK_IN,USER-00234,USER-00234,2026-08-13T01:53:35.150882,2026-08-31T18:53:35.150907
CASE-000004,FIR/2024/PS-DEL-001/00004,STATION-PS-DEL-001,Connaught Place Police Station,OFFICER-00014,Sachin Bhatt,BADGE-CEN-1014,NON_COGNIZABLE,CYBER_CRIME,MEDIUM,CLOSED_UNSOLVED,2025-07-01T12:53:35.150934,2025-07-01T09:53:35.150934,"{""address"": ""Near Landmark 47, Connaught Place, Central Delhi"", ""latitude"": 28.621113026266787, ""longitude"": 77.23065746432978, ""district"": ""Central Delhi"", ""state"": ""Delhi""}",Incident of cyber crime reported near Central Delhi.,Detailed police incident report regarding CYBER_CRIME under jurisdiction of Connaught Place Police Station. Investigation initiated by Officer Sachin Bhatt (BADGE-CEN-1014). Initial inspection conducted at incident location.,"[{""act"": ""IT Act"", ""section"": ""66C"", ""description"": ""Punishment for identity theft""}, {""act"": ""IT Act"", ""section"": ""66D"", ""description"": ""Punishment for cheating by personation using computer resource""}, {""act"": ""IPC"", ""section"": ""420"", ""description"": ""Cheating and dishonestly inducing delivery of property""}]",WALK_IN,USER-00227,USER-00227,2025-07-01T12:53:35.150934,2026-08-31T18:53:35.150968
CASE-000005,FIR/2026/PS-DEL-002/00005,STATION-PS-DEL-002,Hauz Khas Police Station,OFFICER-00045,Sunil Agarwal,BADGE-SOU-1045,NON_COGNIZABLE,DRUG_OFFENCE,MEDIUM,UNDER_INVESTIGATION,2025-06-07T04:53:35.150994,2025-06-05T07:53:35.150994,"{""address"": ""Near Landmark 75, Hauz Khas, South Delhi"", ""latitude"": 28.562950302565508, ""longitude"": 77.19910631993872, ""district"": ""South Delhi"", ""state"": ""Delhi""}",Incident of drug offence reported near South Delhi.,Detailed police incident report regarding DRUG_OFFENCE under jurisdiction of Hauz Khas Police Station. Investigation initiated by Officer Sunil Agarwal (BADGE-SOU-1045). Initial inspection conducted at incident location.,"[{""act"": ""NDPS Act"", ""section"": ""20"", ""description"": ""Punishment for contravention in relation to cannabis""}, {""act"": ""NDPS Act"", ""section"": ""21"", ""description"": ""Punishment for contravention in relation to manufactured drugs""}]",WALK_IN,USER-00039,USER-00039,2025-06-07T04:53:35.150994,2026-08-31T18:53:35.151019
CASE-000006,FIR/2026/PS-BLR-001/00006,STATION-PS-BLR-001,Koramangala Police Station,OFFICER-00016,Ramesh Reddy,BADGE-BAN-1016,NON_COGNIZABLE,CYBER_CRIME,LOW,CHARGE_SHEET_FILED,2026-08-01T03:53:35.151044,2026-07-31T07:53:35.151044,"{""address"": ""Near Landmark 22, Koramangala 1st to 8th Blocks, Bangalore Urban"", ""latitude"": 12.951067751418064, ""longitude"": 77.6057939200558, ""district"": ""Bangalore Urban"", ""state"": ""Karnataka""}",Incident of cyber crime reported near Bangalore Urban.,Detailed police incident report regarding CYBER_CRIME under jurisdiction of Koramangala Police Station. Investigation initiated by Officer Ramesh Reddy (BADGE-BAN-1016). Initial inspection conducted at incident location.,"[{""act"": ""IT Act"", ""section"": ""66C"", ""description"": ""Punishment for identity theft""}, {""act"": ""IT Act"", ""section"": ""66D"", ""description"": ""Punishment for cheating by personation using computer resource""}, {""act"": ""IPC"", ""section"": ""420"", ""description"": ""Cheating and dishonestly inducing delivery of property""}]",WALK_IN,USER-00006,USER-00006,2026-08-01T03:53:35.151044,2026-08-31T18:53:35.151066
CASE-000007,FIR/2024/PS-BLR-002/00007,STATION-PS-BLR-002,Indiranagar Police Station,OFFICER-00027,Tarun Pandey,BADGE-BAN-1027,NON_COGNIZABLE,FRAUD,MEDIUM,CLOSED_UNSOLVED,2025-08-28T06:53:35.151090,2025-08-27T14:53:35.151090,"{""address"": ""Near Landmark 93, Indiranagar 1st and 2nd Stages, Bangalore Urban"", ""latitude"": 12.98732513768538, ""longitude"": 77.64433745000431, ""district"": ""Bangalore Urban"", ""state"": ""Karnataka""}",Incident of fraud reported near Bangalore Urban.,Detailed police incident report regarding FRAUD under jurisdiction of Indiranagar Police Station. Investigation initiated by Officer Tarun Pandey (BADGE-BAN-1027). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""420"", ""description"": ""Cheating and dishonestly inducing delivery of property""}, {""act"": ""IPC"", ""section"": ""406"", ""description"": ""Punishment for criminal breach of trust""}, {""act"": ""IPC"", ""section"": ""468"", ""description"": ""Forgery for purpose of cheating""}]",WALK_IN,USER-00232,USER-00232,2025-08-28T06:53:35.151090,2026-08-31T18:53:35.151112
CASE-000008,FIR/2025/PS-CHE-001/00008,STATION-PS-CHE-001,T. Nagar Police Station,OFFICER-00018,Rekha Mishra,BADGE-CHE-1018,NON_COGNIZABLE,THEFT,LOW,REGISTERED,2026-02-21T08:53:35.151135,2026-02-20T07:53:35.151135,"{""address"": ""Near Landmark 20, T. Nagar, Chennai"", ""latitude"": 13.057131014335388, ""longitude"": 80.21659759021443, ""district"": ""Chennai"", ""state"": ""Tamil Nadu""}",Incident of theft reported near Chennai.,Detailed police incident report regarding THEFT under jurisdiction of T. Nagar Police Station. Investigation initiated by Officer Rekha Mishra (BADGE-CHE-1018). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""378"", ""description"": ""Theft""}, {""act"": ""IPC"", ""section"": ""379"", ""description"": ""Punishment for theft""}, {""act"": ""IPC"", ""section"": ""380"", ""description"": ""Theft in dwelling house""}, {""act"": ""BNS"", ""section"": ""303"", ""description"": ""Theft and aggravated theft""}]",WALK_IN,USER-00234,USER-00234,2026-02-21T08:53:35.151135,2026-08-31T18:53:35.151156
CASE-000009,FIR/2025/PS-CHE-002/00009,STATION-PS-CHE-002,Mylapore Police Station,OFFICER-00039,Deepa Saxena,BADGE-CHE-1039,NON_COGNIZABLE,MISSING_PERSON,MEDIUM,CHARGE_SHEET_FILED,2025-05-17T10:53:35.151179,2025-05-15T11:53:35.151179,"{""address"": ""Near Landmark 12, Mylapore, Chennai"", ""latitude"": 13.046849364070152, ""longitude"": 80.26280766767509, ""district"": ""Chennai"", ""state"": ""Tamil Nadu""}",Incident of missing person reported near Chennai.,Detailed police incident report regarding MISSING_PERSON under jurisdiction of Mylapore Police Station. Investigation initiated by Officer Deepa Saxena (BADGE-CHE-1039). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""363"", ""description"": ""Punishment for kidnapping""}, {""act"": ""BNS"", ""section"": ""137"", ""description"": ""Kidnapping""}]",WALK_IN,USER-00213,USER-00213,2025-05-17T10:53:35.151179,2026-08-31T18:53:35.151201
CASE-000010,FIR/2025/PS-LKO-001/00010,STATION-PS-LKO-001,Hazratganj Police Station,OFFICER-00010,Savita Kulkarni,BADGE-LUC-1010,NON_COGNIZABLE,OTHERS,MEDIUM,UNDER_INVESTIGATION,2026-04-17T19:53:35.151230,2026-04-16T06:53:35.151230,"{""address"": ""Near Landmark 77, Hazratganj, Lucknow"", ""latitude"": 26.866613848300293, ""longitude"": 80.94011008951242, ""district"": ""Lucknow"", ""state"": ""Uttar Pradesh""}",Incident of others reported near Lucknow.,Detailed police incident report regarding OTHERS under jurisdiction of Hazratganj Police Station. Investigation initiated by Officer Savita Kulkarni (BADGE-LUC-1010). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""506"", ""description"": ""Punishment for criminal intimidation""}]",WALK_IN,USER-00032,USER-00032,2026-04-17T19:53:35.151230,2026-08-31T18:53:35.151258
